id,date,price,lat,lon
177,1/19,268.32,40.605556,-73.993685
178,1/19,268.32,40.606425,-73.756400
179,1/19,268.32,40.606425,-73.756400
180,1/19,268.32,40.606425,-73.756400
181,1/19,268.32,40.668008,-73.907318
182,1/19,268.32,40.668008,-73.907318
183,1/19,268.32,40.631277,-73.886025
184,1/19,268.32,40.631277,-73.886025
185,1/19,268.32,40.794298,-73.947492
186,1/19,268.32,40.797677,-73.964920
187,1/20,268.17,40.662202,-73.978854
188,1/20,268.17,40.631277,-73.886025
189,1/20,268.17,40.676370,-73.919576
190,1/21,268.15,40.678963,-73.949647
191,1/21,268.15,40.821482,-73.919467
192,1/22,268.16,40.818125,-73.907395
193,1/22,268.16,40.818125,-73.907395
194,1/22,268.16,40.784945,-73.953588
195,1/22,268.16,40.634521,-73.918801
196,1/22,268.16,40.634521,-73.918801
197,1/22,268.16,40.574136,-73.997814
198,1/22,268.16,40.799776,-73.933092
199,1/22,268.16,40.799776,-73.933092
200,1/22,268.16,40.670590,-73.909860
201,1/22,268.16,40.609015,-73.751404
202,1/23,268.1,40.622861,-74.082136
203,1/23,268.1,40.620860,-73.990382
204,1/23,268.1,40.620860,-73.990382
205,1/23,268.1,40.620860,-73.990382
206,1/23,268.1,40.577930,-73.998219
207,1/23,268.1,40.734304,-73.813401
208,1/23,268.1,40.734304,-73.813401
209,1/23,268.1,40.573856,-73.998790
210,1/23,268.1,40.573856,-73.998790
211,1/23,268.1,40.841721,-73.910274
212,1/23,268.1,40.695229,-73.793977
213,1/24,268.06,40.807543,-73.913655
214,1/25,268.11,40.668980,-73.863939
215,1/25,268.11,40.805429,-73.942537
216,1/25,268.11,40.799717,-73.947495
217,1/25,268.11,40.800133,-73.948408
218,1/25,268.11,40.836997,-73.939412
219,1/25,268.11,40.644719,-73.924941
220,1/25,268.11,40.685888,-73.917272
221,1/25,268.11,40.685888,-73.917272
222,1/25,268.11,40.654117,-73.913684
223,1/25,268.11,40.819943,-73.919340
224,1/26,268.19,40.843617,-73.934875
225,1/26,268.19,40.843617,-73.934875
226,1/26,268.19,40.843617,-73.934875
227,1/26,268.19,40.843617,-73.934875
228,1/26,268.19,40.820031,-73.920043
229,1/27,268.22,40.636347,-74.119567
230,1/27,268.22,40.832960,-73.908519
231,1/28,268.43,40.631837,-73.885656
232,1/28,268.43,40.631837,-73.885656
233,1/28,268.43,40.634308,-73.884531
234,1/28,268.43,40.600639,-73.984374
235,1/28,268.43,40.632862,-73.947699
236,1/28,268.43,40.632862,-73.947699
237,1/28,268.43,40.595791,-74.062065
238,1/28,268.43,40.595791,-74.062065
239,1/29,268.48,40.729409,-73.978028
240,1/29,268.48,40.804325,-73.937710
241,1/30,268.59,40.621536,-73.946237
242,1/30,268.59,40.621536,-73.946237
243,1/30,268.59,40.593004,-73.988742
244,1/30,268.59,40.638508,-73.943784
245,1/30,268.59,40.798657,-73.944413
246,1/30,268.59,40.572257,-73.996311
247,1/30,268.59,40.609909,-73.922431
248,1/30,268.59,40.609909,-73.922431
249,1/30,268.59,40.674580,-73.736039
250,1/30,268.59,40.674580,-73.736039
251,1/31,268.53,40.699202,-73.931280
252,1/31,268.53,40.699202,-73.931280
